# 기능어의 한국어 자리.
#
# 조사·조동사·관용구는 낱말 뜻으로 옮길 수 없어 번역 대상에서 뺐다(WordClass.isTranslatable).
# 그러면 뜻 자리에 영어 설명문이 남는데(の → "indicates possessive"), 화면에서는
# "아직 번역 안 된 것"과 구별되지 않는다. 그래서 여기에 손으로 적는다.
#
# **손으로 적는 편이 정확하다.** 개수가 수십 개뿐이고 한국어 대응이 굳어 있어서,
# 모델에게 물으면 오히려 "よ → 안녕, 너" 같은 답이 온다.
#
# 뜻이 아니라 **자리**를 적는다 — `~의`처럼 붙어 쓰는 꼴 그대로. 그것이 조사의 뜻이다.
# 확신이 서지 않는 것은 넣지 않았다(さ · とも). 빈 채로 두면 영어가 남을 뿐이지만,
# 틀린 한국어를 적으면 사용자가 그것을 믿는다.
#
# 차례는 애니 빈도순(swift run Translator --skipped).
# 표기	읽기	한국어
の	の	~의, ~것
は	は	~은, ~는
に	に	~에, ~에게
を	を	~을, ~를
が	が	~이, ~가
で	で	~에서, ~로
から	から	~부터, ~니까
だ	だ	~이다
よ	よ	~야, ~라고
こと	こと	~것
ね	ね	~지?, ~네
には	には	~에는
でも	でも	~라도, 하지만
です	です	~입니다
な	な	~하지 마, ~구나
って	って	~라고, ~란
ない	ない	안 ~, ~않다
んだ	んだ	~인 것이다
だった	だった	~였다
さん	さん	~씨
まで	まで	~까지
もの	もの	~것, ~인걸
だから	だから	그러니까
だろう	だろう	~겠지
ん	ん	~것, ~인
や	や	~랑, ~며
し	し	~고, ~하니
なら	なら	~라면
へ	へ	~로, ~에게
とは	とは	~란
にも	にも	~에도
んです	んです	~인 것입니다
ながら	ながら	~하면서
そして	そして	그리고
のに	のに	~인데, ~는데
とか	とか	~라든가
ぞ	ぞ	~다!, ~라고
なの	なの	~인 거야
ので	ので	~니까, ~라서
だって	だって	~래, 왜냐면
だが	だが	하지만
ですか	ですか	~입니까
として	として	~로서
しかし	しかし	그러나
かな	かな	~려나
でしょう	でしょう	~겠지요
しか	しか	~밖에
て	て	~하고, ~해서
けど	けど	~지만
ば	ば	~하면
と	と	~와, ~라고
も	も	~도
か	か	~까?, ~니?
より	より	~보다
じゃない	じゃない	~아니야
ではない	ではない	~이 아니다
である	である	~이다
なんて	なんて	~따위, ~라니
なんか	なんか	~같은 거
ばかり	ばかり	~만, ~뿐
ずつ	ずつ	~씩
くらい	くらい	~쯤, ~정도
ぐらい	ぐらい	~쯤, ~정도
だけ	だけ	~만, ~뿐
ほど	ほど	~만큼
など	など	~등, ~따위
